Algorithm,Parameters,Validation_MMD
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.05695833333333333), 'vgd_lengthscales': (np.float64(1.0), np.float64(2.0), np.float64(4.0))}",0.32686
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.28054
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.28187
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.28443
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.28832
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.29185
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.29352
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.29523
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.32708333333333334), np.float64(0.6541666666666667), np.float64(1.3083333333333333))}",0.29738
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.36666666666666664), np.float64(0.7333333333333333), np.float64(1.4666666666666666))}",0.29885
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.40624999999999994), np.float64(0.8124999999999999), np.float64(1.6249999999999998))}",0.30040
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.4458333333333333), np.float64(0.8916666666666666), np.float64(1.7833333333333332))}",0.30287
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.48541666666666666), np.float64(0.9708333333333333), np.float64(1.9416666666666667))}",0.30415
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.525), np.float64(1.05), np.float64(2.1))}",0.30627
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.5645833333333333), np.float64(1.1291666666666667), np.float64(2.2583333333333333))}",0.30781
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.6041666666666667), np.float64(1.2083333333333335), np.float64(2.416666666666667))}",0.30969
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.64375), np.float64(1.2875), np.float64(2.575))}",0.31121
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.6833333333333333), np.float64(1.3666666666666667), np.float64(2.7333333333333334))}",0.31282
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.7229166666666667), np.float64(1.4458333333333333), np.float64(2.8916666666666666))}",0.31433
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.7625), np.float64(1.525), np.float64(3.05))}",0.31616
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.8020833333333334), np.float64(1.6041666666666667), np.float64(3.2083333333333335))}",0.31746
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.8416666666666667), np.float64(1.6833333333333333), np.float64(3.3666666666666667))}",0.31948
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.88125), np.float64(1.7625), np.float64(3.525))}",0.32053
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.9208333333333334), np.float64(1.8416666666666668), np.float64(3.6833333333333336))}",0.32211
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(0.9604166666666667), np.float64(1.9208333333333334), np.float64(3.841666666666667))}",0.32359
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06025), 'vgd_lengthscales': (np.float64(1.0), np.float64(2.0), np.float64(4.0))}",0.32478
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.28036
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.28156
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.28426
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.28857
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.29061
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.29340
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.29513
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.32708333333333334), np.float64(0.6541666666666667), np.float64(1.3083333333333333))}",0.29626
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.36666666666666664), np.float64(0.7333333333333333), np.float64(1.4666666666666666))}",0.29834
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.40624999999999994), np.float64(0.8124999999999999), np.float64(1.6249999999999998))}",0.29996
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.4458333333333333), np.float64(0.8916666666666666), np.float64(1.7833333333333332))}",0.30185
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.48541666666666666), np.float64(0.9708333333333333), np.float64(1.9416666666666667))}",0.30403
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.525), np.float64(1.05), np.float64(2.1))}",0.30472
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.5645833333333333), np.float64(1.1291666666666667), np.float64(2.2583333333333333))}",0.30651
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.6041666666666667), np.float64(1.2083333333333335), np.float64(2.416666666666667))}",0.30839
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.64375), np.float64(1.2875), np.float64(2.575))}",0.30941
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.6833333333333333), np.float64(1.3666666666666667), np.float64(2.7333333333333334))}",0.31131
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.7229166666666667), np.float64(1.4458333333333333), np.float64(2.8916666666666666))}",0.31294
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.7625), np.float64(1.525), np.float64(3.05))}",0.31447
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.8020833333333334), np.float64(1.6041666666666667), np.float64(3.2083333333333335))}",0.31593
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.8416666666666667), np.float64(1.6833333333333333), np.float64(3.3666666666666667))}",0.31775
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.88125), np.float64(1.7625), np.float64(3.525))}",0.31896
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.9208333333333334), np.float64(1.8416666666666668), np.float64(3.6833333333333336))}",0.32096
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(0.9604166666666667), np.float64(1.9208333333333334), np.float64(3.841666666666667))}",0.32188
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06354166666666666), 'vgd_lengthscales': (np.float64(1.0), np.float64(2.0), np.float64(4.0))}",0.32334
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.28058
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.28154
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.28389
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.28767
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.29019
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.29249
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.29488
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.32708333333333334), np.float64(0.6541666666666667), np.float64(1.3083333333333333))}",0.29639
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.36666666666666664), np.float64(0.7333333333333333), np.float64(1.4666666666666666))}",0.29826
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.40624999999999994), np.float64(0.8124999999999999), np.float64(1.6249999999999998))}",0.29914
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.4458333333333333), np.float64(0.8916666666666666), np.float64(1.7833333333333332))}",0.30096
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.48541666666666666), np.float64(0.9708333333333333), np.float64(1.9416666666666667))}",0.30281
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.525), np.float64(1.05), np.float64(2.1))}",0.30451
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.5645833333333333), np.float64(1.1291666666666667), np.float64(2.2583333333333333))}",0.30633
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.6041666666666667), np.float64(1.2083333333333335), np.float64(2.416666666666667))}",0.30739
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.64375), np.float64(1.2875), np.float64(2.575))}",0.30887
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.6833333333333333), np.float64(1.3666666666666667), np.float64(2.7333333333333334))}",0.31020
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.7229166666666667), np.float64(1.4458333333333333), np.float64(2.8916666666666666))}",0.31127
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.7625), np.float64(1.525), np.float64(3.05))}",0.31297
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.8020833333333334), np.float64(1.6041666666666667), np.float64(3.2083333333333335))}",0.31458
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.8416666666666667), np.float64(1.6833333333333333), np.float64(3.3666666666666667))}",0.31621
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.88125), np.float64(1.7625), np.float64(3.525))}",0.31766
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.9208333333333334), np.float64(1.8416666666666668), np.float64(3.6833333333333336))}",0.31874
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(0.9604166666666667), np.float64(1.9208333333333334), np.float64(3.841666666666667))}",0.32037
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.06683333333333333), 'vgd_lengthscales': (np.float64(1.0), np.float64(2.0), np.float64(4.0))}",0.32181
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.27983
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.28179
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.28310
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.28731
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.28964
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.29214
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.29407
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.32708333333333334), np.float64(0.6541666666666667), np.float64(1.3083333333333333))}",0.29583
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.36666666666666664), np.float64(0.7333333333333333), np.float64(1.4666666666666666))}",0.29747
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.070125), 'vgd_lengthscales': (np.float64(0.40624999999999994), np.float64(0.8124999999999999), np.float64(1.6249999999999998))}",0.29937
