Algorithm,Parameters,Validation_MMD
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(14.791666666666666)}",0.40448
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(15.812499999999998)}",0.40915
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(16.833333333333332)}",0.41354
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(17.854166666666664)}",0.41768
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(18.875)}",0.42159
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(19.895833333333332)}",0.42525
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(20.916666666666664)}",0.42871
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(21.9375)}",0.43198
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(22.958333333333332)}",0.43509
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(23.979166666666664)}",0.43805
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(25.0)}",0.44086
